Cell ID, Nucelus x, Nucleus y, Nucelus Area, Cell Area, Center of area x, Center of area y
1, 1014, 1038, 5, 5, 1014, 1038
2, 1015, 1027, 5, 13, 1016, 1025
3, 1018, 1018, 4, 4, 1018, 1018
4, 1024, 1023, 1, 1, 1024, 1023
5, 1023, 1024, 2, 9, 1015, 1034
6, 1022, 1028, 6, 6, 1022, 1028
7, 1013, 1030, 6, 6, 1013, 1030
8, 1031, 1025, 1, 1, 1031, 1025
9, 1033, 1039, 2, 2, 1033, 1039
10, 1030, 1050, 1, 1, 1030, 1050
11, 1012, 1033, 1, 7, 1014, 1027
12, 1024, 1031, 1, 1, 1024, 1031
13, 1030, 1047, 3, 3, 1030, 1047
14, 1035, 1020, 4, 9, 1025, 1019
15, 1026, 1040, 4, 4, 1026, 1040
16, 1033, 1033, 2, 2, 1033, 1033
17, 1018, 1030, 4, 4, 1018, 1030
18, 1027, 1046, 2, 2, 1027, 1046
19, 1021, 1034, 2, 2, 1021, 1034
20, 1029, 1038, 4, 4, 1029, 1038
21, 1032, 1036, 5, 5, 1032, 1036
22, 1025, 1035, 4, 4, 1025, 1035
23, 1025, 1017, 3, 3, 1025, 1017
24, 1028, 1024, 4, 4, 1028, 1024
25, 1021, 1039, 1, 3, 1021, 1032
26, 1023, 1034, 4, 4, 1023, 1034
27, 1036, 1051, 1, 1, 1036, 1051
28, 1018, 1023, 4, 4, 1018, 1023
29, 1015, 1035, 1, 1, 1015, 1035
30, 1037, 1032, 1, 1, 1037, 1032
31, 1031, 1028, 4, 4, 1031, 1028
32, 1036, 1023, 3, 3, 1036, 1023
33, 1030, 1029, 2, 2, 1030, 1029
34, 1034, 1029, 5, 9, 1025, 1029
35, 1040, 1028, 1, 1, 1040, 1028
36, 1019, 1021, 3, 3, 1019, 1021
37, 1021, 1017, 5, 7, 1024, 1019
38, 1021, 1023, 3, 3, 1021, 1023
39, 1029, 1034, 2, 3, 1031, 1037
40, 1027, 1033, 2, 2, 1027, 1033
41, 1024, 1044, 1, 1, 1024, 1044
42, 1027, 1049, 1, 3, 1028, 1050
43, 1017, 1039, 4, 4, 1017, 1039
44, 1034, 1023, 3, 3, 1034, 1023
45, 1020, 1030, 3, 3, 1020, 1030
46, 1026, 1027, 5, 5, 1026, 1027
47, 1027, 1027, 1, 1, 1027, 1027
48, 1034, 1047, 2, 2, 1034, 1047
49, 1040, 1022, 5, 5, 1040, 1022
50, 1023, 1027, 1, 1, 1023, 1027
51, 1022, 1026, 1, 1, 1022, 1026
52, 1023, 1021, 4, 4, 1023, 1021
53, 1027, 1034, 2, 2, 1027, 1034
54, 1021, 1038, 3, 3, 1021, 1038
55, 1027, 1016, 1, 1, 1027, 1016
56, 1027, 1019, 5, 5, 1027, 1019
57, 1036, 1047, 4, 4, 1036, 1047
58, 1028, 1031, 2, 4, 1021, 1032
59, 1019, 1032, 3, 3, 1019, 1032
60, 1026, 1023, 3, 3, 1026, 1023
61, 1031, 1027, 1, 1, 1031, 1027
62, 1033, 1025, 4, 4, 1033, 1025
63, 1032, 1041, 2, 2, 1032, 1041
64, 1029, 1052, 2, 2, 1029, 1052
65, 1031, 1051, 2, 6, 1029, 1048
66, 1013, 1034, 2, 2, 1013, 1034
67, 1023, 1033, 2, 2, 1023, 1033
68, 1035, 1034, 3, 3, 1035, 1034
69, 1028, 1044, 4, 9, 1031, 1031
70, 1022, 1032, 3, 3, 1022, 1032
71, 1038, 1050, 2, 2, 1038, 1050
72, 1016, 1037, 4, 6, 1019, 1038
73, 1037, 1033, 3, 5, 1036, 1034
74, 1039, 1033, 3, 3, 1039, 1033
75, 1040, 1026, 1, 1, 1040, 1026
76, 1030, 1035, 1, 1, 1030, 1035
77, 1024, 1043, 1, 1, 1024, 1043
78, 1034, 1039, 1, 5, 1021, 1031
79, 1028, 1041, 2, 2, 1028, 1041
80, 1030, 1026, 2, 6, 1028, 1040
81, 1024, 1026, 3, 3, 1024, 1026
82, 1023, 1025, 2, 3, 1022, 1028
83, 1029, 1017, 6, 6, 1029, 1017
84, 1030, 1031, 3, 3, 1030, 1031
85, 1032, 1052, 5, 5, 1032, 1052
86, 1033, 1049, 3, 3, 1033, 1049
87, 1015, 1032, 2, 2, 1015, 1032
88, 1024, 1034, 2, 2, 1024, 1034
89, 1039, 1050, 5, 5, 1039, 1050
90, 1042, 1026, 4, 4, 1042, 1026
91, 1032, 1034, 5, 5, 1032, 1034
92, 1025, 1042, 4, 8, 1027, 1040
93, 1034, 1041, 4, 4, 1034, 1041
94, 1024, 1022, 2, 7, 1030, 1032
95, 1034, 1053, 4, 4, 1034, 1053
96, 1041, 1029, 2, 2, 1041, 1029
97, 1025, 1024, 3, 5, 1025, 1029
