Cell ID, Nucelus x, Nucleus y, Nucelus Area, Cell Area, Center of area x, Center of area y
1, 1013, 1028, 2, 2, 1013, 1028
2, 1022, 1041, 3, 3, 1022, 1041
3, 1020, 1004, 3, 3, 1020, 1004
4, 1029, 1042, 3, 3, 1029, 1042
5, 1028, 1047, 3, 3, 1028, 1047
6, 1015, 1033, 1, 2, 1014, 1024
7, 1013, 1006, 3, 3, 1013, 1006
8, 1009, 1017, 1, 2, 1010, 1023
9, 1008, 1027, 4, 4, 1008, 1027
10, 1006, 1043, 3, 3, 1006, 1043
11, 1031, 1030, 3, 5, 1028, 1034
12, 1006, 1008, 3, 6, 1013, 1006
13, 1027, 1022, 1, 1, 1027, 1022
14, 1002, 1040, 1, 1, 1002, 1040
15, 1032, 1023, 3, 3, 1032, 1023
16, 1023, 1020, 4, 8, 1026, 1031
17, 1016, 1009, 3, 3, 1016, 1009
18, 1024, 1043, 1, 1, 1024, 1043
19, 1042, 1030, 3, 3, 1042, 1030
20, 1008, 1032, 1, 1, 1008, 1032
21, 1015, 1029, 3, 5, 1019, 1036
22, 1011, 1041, 2, 2, 1011, 1041
23, 1023, 1030, 1, 1, 1023, 1030
24, 1008, 1021, 1, 1, 1008, 1021
25, 1036, 1011, 4, 4, 1036, 1011
26, 1007, 1025, 3, 3, 1007, 1025
27, 1020, 1040, 1, 4, 1015, 1016
28, 1001, 1013, 1, 1, 1001, 1013
29, 1036, 1021, 2, 2, 1036, 1021
30, 1003, 1041, 3, 3, 1003, 1041
31, 1040, 1011, 3, 3, 1040, 1011
32, 1041, 1043, 2, 2, 1041, 1043
33, 1021, 1037, 1, 1, 1021, 1037
34, 1038, 1030, 4, 4, 1038, 1030
35, 1019, 1035, 3, 3, 1019, 1035
36, 1046, 1009, 5, 7, 1036, 1014
37, 1012, 1043, 2, 2, 1012, 1043
38, 1034, 1014, 3, 3, 1034, 1014
39, 1025, 1046, 4, 6, 1019, 1045
40, 1003, 1019, 1, 1, 1003, 1019
41, 1027, 1014, 3, 3, 1027, 1014
42, 1015, 1046, 2, 4, 1023, 1037
43, 1032, 1009, 1, 1, 1032, 1009
44, 1021, 1043, 3, 3, 1021, 1043
45, 1031, 1040, 2, 2, 1031, 1040
46, 1012, 1045, 3, 3, 1012, 1045
47, 1024, 1016, 2, 2, 1024, 1016
48, 1041, 1014, 4, 4, 1041, 1014
49, 1049, 1012, 1, 1, 1049, 1012
50, 1015, 1017, 2, 2, 1015, 1017
51, 1010, 1015, 3, 3, 1010, 1015
52, 1032, 1017, 4, 4, 1032, 1017
53, 1037, 1043, 1, 1, 1037, 1043
54, 1008, 1020, 1, 1, 1008, 1020
55, 1011, 1037, 3, 3, 1011, 1037
56, 1026, 1037, 2, 2, 1026, 1037
57, 1016, 1038, 2, 2, 1016, 1038
58, 1029, 1019, 2, 11, 1009, 1010
59, 1030, 1007, 3, 3, 1030, 1007
60, 1025, 1054, 4, 4, 1025, 1054
61, 1033, 1031, 2, 2, 1033, 1031
62, 1040, 1029, 2, 2, 1040, 1029
63, 1013, 1040, 4, 4, 1013, 1040
64, 1029, 1028, 2, 2, 1029, 1028
65, 1005, 1031, 3, 3, 1005, 1031
66, 1028, 1050, 3, 3, 1028, 1050
67, 1022, 1019, 2, 2, 1022, 1019
68, 1034, 1046, 2, 2, 1034, 1046
69, 1005, 1050, 3, 3, 1005, 1050
70, 1010, 1047, 3, 3, 1010, 1047
71, 1036, 1046, 1, 1, 1036, 1046
72, 1037, 1021, 2, 2, 1037, 1021
73, 1049, 1018, 3, 3, 1049, 1018
74, 1038, 1053, 3, 3, 1038, 1053
75, 1033, 1041, 1, 3, 1028, 1028
76, 1050, 1010, 4, 4, 1050, 1010
77, 1010, 1045, 2, 2, 1010, 1045
78, 1031, 1045, 4, 4, 1031, 1045
79, 1031, 1026, 5, 5, 1031, 1026
80, 1022, 1008, 3, 3, 1022, 1008
81, 1028, 1026, 3, 3, 1028, 1026
82, 1006, 1038, 5, 5, 1006, 1038
83, 1002, 1011, 1, 1, 1002, 1011
84, 1039, 1038, 2, 2, 1039, 1038
85, 1029, 1048, 3, 3, 1029, 1048
86, 1041, 1019, 4, 4, 1041, 1019
87, 1011, 1010, 2, 2, 1011, 1010
88, 1025, 1013, 2, 2, 1025, 1013
89, 1020, 1028, 1, 1, 1020, 1028
90, 1028, 1053, 3, 3, 1028, 1053
91, 1009, 1039, 3, 3, 1009, 1039
92, 1035, 1047, 3, 8, 1033, 1032
93, 1054, 1011, 4, 4, 1054, 1011
94, 1023, 1018, 3, 3, 1023, 1018
95, 1015, 1011, 4, 4, 1015, 1011
96, 1020, 1010, 3, 3, 1020, 1010
97, 1051, 1017, 3, 8, 1034, 1019
98, 1012, 1011, 3, 3, 1012, 1011
99, 1052, 1014, 2, 2, 1052, 1014
100, 1026, 1003, 1, 1, 1026, 1003
101, 1016, 1020, 1, 4, 1017, 1013
102, 1020, 1008, 4, 4, 1020, 1008
103, 1024, 1009, 1, 1, 1024, 1009
104, 1030, 1038, 4, 4, 1030, 1038
105, 1025, 1008, 1, 1, 1025, 1008
106, 1015, 1015, 2, 2, 1015, 1015
107, 1013, 1034, 2, 2, 1013, 1034
108, 1022, 1031, 5, 5, 1022, 1031
109, 1030, 1009, 4, 6, 1028, 1020
110, 1008, 1042, 3, 3, 1008, 1042
111, 1022, 1044, 3, 7, 1034, 1036
112, 1040, 1005, 2, 3, 1030, 1014
113, 1028, 1016, 2, 2, 1028, 1016
114, 1041, 1034, 4, 4, 1041, 1034
115, 1005, 1026, 3, 3, 1005, 1026
116, 1029, 1022, 3, 3, 1029, 1022
117, 1030, 1012, 3, 3, 1030, 1012
118, 1037, 1016, 3, 8, 1023, 1024
119, 1038, 1027, 4, 4, 1038, 1027
120, 1043, 1018, 1, 1, 1043, 1018
121, 1011, 1021, 2, 2, 1011, 1021
122, 1031, 1014, 2, 2, 1031, 1014
123, 1036, 1043, 2, 2, 1036, 1043
124, 1037, 1014, 4, 4, 1037, 1014
125, 1032, 1005, 1, 1, 1032, 1005
126, 1038, 1036, 2, 2, 1038, 1036
127, 1004, 1022, 4, 4, 1004, 1022
128, 1009, 1049, 2, 2, 1009, 1049
129, 1034, 1038, 3, 3, 1034, 1038
130, 1024, 1025, 4, 4, 1024, 1025
131, 1005, 1046, 4, 4, 1005, 1046
132, 1027, 1039, 4, 4, 1027, 1039
133, 1006, 1014, 2, 2, 1006, 1014
134, 1040, 1039, 2, 2, 1040, 1039
135, 1018, 1043, 2, 2, 1018, 1043
136, 1036, 1048, 1, 4, 1036, 1021
137, 1057, 1013, 4, 4, 1057, 1013
138, 1057, 1009, 4, 4, 1057, 1009
139, 1037, 1047, 2, 2, 1037, 1047
140, 1054, 1019, 1, 1, 1054, 1019
141, 1032, 1053, 3, 5, 1022, 1042
142, 1016, 1019, 1, 1, 1016, 1019
143, 1039, 1042, 2, 2, 1039, 1042
144, 1018, 1026, 2, 3, 1019, 1031
145, 1040, 1036, 2, 2, 1040, 1036
146, 1040, 1040, 1, 1, 1040, 1040
147, 1043, 1038, 2, 2, 1043, 1038
148, 1031, 1036, 3, 3, 1031, 1036
149, 1013, 1016, 3, 7, 1006, 1013
150, 1015, 1032, 3, 6, 1024, 1027
151, 1015, 1008, 3, 3, 1015, 1008
152, 1039, 1039, 2, 2, 1039, 1039
153, 1019, 1023, 1, 1, 1019, 1023
154, 1015, 1023, 3, 8, 1007, 1035
155, 1019, 1011, 3, 3, 1019, 1011
156, 1007, 1031, 1, 6, 1035, 1014
157, 1012, 1020, 3, 3, 1012, 1020
158, 1005, 1023, 1, 1, 1005, 1023
159, 1036, 1026, 3, 4, 1037, 1030
160, 1018, 1039, 2, 2, 1018, 1039
161, 1009, 1025, 3, 3, 1009, 1025
162, 1031, 1034, 2, 2, 1031, 1034
163, 1043, 1014, 2, 2, 1043, 1014
164, 1022, 1029, 2, 2, 1022, 1029
165, 1027, 1052, 1, 1, 1027, 1052
166, 1018, 1028, 3, 3, 1018, 1028
167, 1006, 1034, 2, 6, 1027, 1031
168, 1007, 1041, 3, 3, 1007, 1041
169, 1009, 1051, 1, 5, 1016, 1039
170, 1055, 1013, 3, 3, 1055, 1013
171, 1021, 1017, 3, 3, 1021, 1017
172, 1017, 1033, 4, 4, 1017, 1033
173, 1007, 1012, 3, 14, 1037, 1010
174, 1005, 1012, 4, 4, 1005, 1012
175, 1031, 1047, 2, 2, 1031, 1047
176, 1017, 1049, 3, 6, 1014, 1045
177, 1026, 1036, 1, 5, 1032, 1018
178, 1011, 1039, 3, 3, 1011, 1039
179, 1036, 1007, 4, 6, 1032, 1020
180, 1031, 1052, 1, 3, 1013, 1030
181, 1030, 1004, 3, 3, 1030, 1004
182, 1006, 1019, 2, 5, 1019, 1016
183, 1010, 1051, 1, 3, 1013, 1047
184, 1035, 1040, 2, 4, 1034, 1025
185, 1005, 1049, 1, 4, 1016, 1045
186, 1007, 1046, 1, 3, 1022, 1042
187, 1006, 1013, 2, 2, 1006, 1013
188, 1035, 1049, 2, 2, 1035, 1049
189, 1028, 1044, 1, 1, 1028, 1044
190, 1043, 1023, 3, 3, 1043, 1023
191, 1031, 1055, 2, 2, 1031, 1055
192, 1039, 1017, 2, 2, 1039, 1017
193, 1026, 1032, 3, 3, 1026, 1032
194, 1045, 1039, 2, 2, 1045, 1039
195, 1010, 1031, 4, 4, 1010, 1031
196, 1044, 1033, 3, 3, 1044, 1033
197, 1019, 1038, 1, 5, 1014, 1043
198, 1040, 1024, 2, 2, 1040, 1024
199, 1041, 1026, 2, 2, 1041, 1026
200, 1033, 1033, 2, 2, 1033, 1033
201, 1024, 1049, 3, 3, 1024, 1049
202, 1036, 1038, 1, 1, 1036, 1038
203, 1008, 1045, 3, 3, 1008, 1045
204, 1006, 1016, 1, 2, 1015, 1016
205, 1039, 1010, 3, 7, 1040, 1012
206, 1013, 1030, 3, 3, 1013, 1030
207, 1022, 1005, 1, 1, 1022, 1005
208, 1018, 1031, 3, 8, 1037, 1019
209, 1010, 1017, 2, 2, 1010, 1017
210, 1018, 1010, 2, 2, 1018, 1010
211, 1026, 1024, 1, 1, 1026, 1024
212, 1003, 1038, 3, 3, 1003, 1038
213, 1003, 1040, 2, 2, 1003, 1040
214, 1014, 1020, 4, 4, 1014, 1020
215, 1014, 1023, 1, 3, 1011, 1017
216, 1026, 1042, 4, 4, 1026, 1042
217, 1007, 1035, 4, 4, 1007, 1035
218, 1025, 1030, 1, 1, 1025, 1030
219, 1022, 1035, 3, 3, 1022, 1035
220, 1004, 1017, 3, 3, 1004, 1017
221, 1017, 1045, 3, 8, 1026, 1027
222, 1032, 1011, 4, 4, 1032, 1011
223, 1049, 1015, 3, 3, 1049, 1015
224, 1021, 1049, 3, 3, 1021, 1049
225, 1025, 1039, 4, 4, 1025, 1039
226, 1024, 1018, 2, 2, 1024, 1018
227, 1021, 1035, 3, 3, 1021, 1035
228, 1016, 1042, 3, 3, 1016, 1042
229, 1037, 1044, 4, 4, 1037, 1044
230, 1037, 1023, 3, 3, 1037, 1023
231, 1034, 1039, 1, 1, 1034, 1039
232, 1002, 1017, 4, 4, 1002, 1017
233, 1046, 1016, 2, 2, 1046, 1016
234, 1002, 1014, 2, 2, 1002, 1014
235, 1025, 1014, 3, 3, 1025, 1014
236, 1022, 1026, 4, 4, 1022, 1026
237, 1019, 1020, 4, 12, 1013, 1030
238, 1025, 1006, 3, 3, 1025, 1006
